,name,characteristics,occurances
1,green ball,,3
2,gummi bear green,,3
3,gummi bear red,,2
4,gummi bear yellow,,3
5,gummi clear ,,1
6,gummi orange,,3
7,m & i green,,4
8,m & i orange,,1
9,m & i pink,,5
10,m & i red,,10
11,m & i yellow,,7
12,m & m blue,,12
13,m & m brown,,4
14,m & m green,,4
15,m & m orange,,11
16,m & m yellow ,,5
17,m & m red,,2
18,pink brick,,1
19,purple ball,,2
20,red lines,,4
21,skittle brown ,,2
22,skittle green,,10
23,skittle orange,,7
24,skittle purple,,5
25,skittle red,,4
26,skittle yellow,,6
,,,121
