,name,occurances
1,m&m green,28
2,m&m red,28
3,m&m blue,60
4,m&m yellow,44
5,m&m brown,30
6,m&m orange,63
7,skittle brown,39
8,skittle red,33
9,skittle green,42
10,skittle orange,35
11,skittle yellow,23
12,gummi bear red,15
13,gummi bear pink,16
14,gummi bear green,18
15,gummi bear orange,15
16,gummi bear yellow,19
17,gummi bear white,16
18,m&i pink,39
19,m & i green,36
20,m&i yellow,27
21,m&i orange,32
22,m&ired,40
23,worms red,14
24,balls yellow,4
25,balls green,5
26,balls purple,3
27,balls orange,5
28,balls red,7
29,chocolate kiss,16
30,lego pink,7
31,lego yellow,5
32,lego blue,4
,,768
